jButton1,jButton10,jButton11,jButton12,jButton13,jButton14,jButton15,jButton16,jButton17,jButton18,jButton2,jButton3,jButton4,jButton5,jButton6,jButton7,jButton8,jButton9,jLabel1,jPanel1,jPanel2,jPanel3,jPanel4,jPanel5,jTextField1,jTextField1TextColor,mainFrameColor,energyCost
46_119_62,146_148_99,199_19_29,247_50_159,18_216_227,175_50_118,179_81_100,204_85_207,38_4_125,240_34_234,47_241_188,203_222_44,86_236_129,28_113_252,59_249_238,160_24_49,254_185_4,49_30_140,174_6_118,101_119_205,42_53_112,11_180_255,117_157_125,6_200_18,208_175_191,222_253_229,218_10_48,8522
97_98_204,186_181_21,162_38_68,233_152_33,24_82_130,173_225_62,154_214_182,31_239_246,101_82_120,198_235_87,92_194_29,142_62_44,107_43_104,250_175_238,56_98_14,102_166_113,80_201_157,31_199_50,53_175_79,198_254_1,123_160_142,86_111_79,84_152_238,211_20_145,56_9_223,36_127_31,133_171_10,6615
32_131_229,152_246_103,56_138_251,137_236_62,217_173_95,23_122_163,243_4_36,202_188_46,192_137_20,129_26_226,67_240_94,27_60_202,73_156_244,46_67_148,217_115_176,118_2_205,205_216_247,202_24_224,59_93_73,158_189_146,172_249_52,163_68_71,68_59_174,19_48_251,118_224_197,57_89_170,43_51_140,6802
153_186_172,225_103_121,186_165_138,75_240_231,86_116_215,24_153_3,48_183_46,95_61_200,74_199_134,237_28_116,132_84_242,94_166_243,197_129_151,35_151_0,31_196_202,135_3_28,197_94_21,198_114_118,42_71_131,225_90_84,212_88_232,43_80_254,234_114_183,249_220_0,146_141_168,93_112_29,209_254_67,7015
165_67_160,95_119_51,185_102_126,131_46_106,141_208_18,175_251_145,80_245_120,247_47_72,237_220_74,189_79_221,221_65_162,141_253_152,194_29_4,167_123_213,213_186_5,190_178_153,233_194_83,101_220_125,134_240_67,247_121_246,250_186_18,44_145_175,21_193_224,78_162_42,158_212_130,209_4_251,195_138_199,2050
77_192_3,8_210_254,61_214_248,166_118_94,132_114_60,16_70_85,54_170_233,42_72_111,168_217_244,252_98_160,207_25_86,153_56_49,33_111_56,192_232_34,65_103_140,246_19_219,34_31_129,44_85_100,249_50_105,81_98_48,52_48_95,58_87_195,64_21_248,209_56_41,142_119_68,144_88_65,4_244_254,4542
60_223_129,57_9_23,101_92_193,202_203_75,197_193_198,75_128_182,228_32_254,7_162_31,173_224_153,8_64_243,158_166_120,17_234_191,118_57_6,80_46_72,254_128_89,216_85_17,16_59_139,190_213_239,94_132_225,166_117_90,47_177_111,56_233_106,155_222_1,125_141_165,91_162_224,19_145_179,17_16_51,6913
12_90_49,64_219_161,12_39_12,51_36_103,15_161_105,98_6_108,43_28_45,139_142_84,176_73_212,121_123_140,101_34_11,255_132_54,27_61_108,56_174_200,249_206_85,180_48_185,127_223_21,21_242_148,252_15_95,159_4_135,54_197_3,97_170_203,171_187_188,182_201_33,49_180_172,11_205_210,16_248_155,6410
0_6_201,161_128_9,166_24_37,212_16_5,88_125_21,130_139_123,165_30_184,99_239_41,191_79_130,254_25_195,152_26_141,127_188_227,250_142_104,49_74_230,154_173_51,156_44_185,172_104_152,116_149_140,211_229_60,209_242_166,72_255_19,164_151_59,41_194_47,56_89_141,188_217_152,11_126_39,209_61_108,2472
199_187_255,227_146_178,114_71_48,134_137_8,33_169_194,179_67_190,185_182_100,78_219_245,52_176_150,94_108_108,16_144_198,126_230_143,201_245_58,11_80_113,118_68_65,65_211_137,17_142_81,56_100_18,55_249_8,41_79_108,211_12_242,46_205_201,83_242_78,40_166_147,39_130_31,160_156_179,14_114_10,3187
226_209_217,50_49_12,217_78_175,212_246_183,36_76_45,172_205_26,190_31_97,93_44_47,204_150_141,242_119_98,221_127_140,36_241_26,98_25_95,157_165_208,31_129_156,250_130_157,51_155_22,33_220_77,95_31_31,139_148_195,31_244_46,17_111_106,62_80_88,233_180_166,111_203_92,88_45_152,223_20_18,4285
217_89_241,92_205_214,239_40_168,90_136_248,183_248_105,189_70_68,159_188_40,3_99_21,31_249_34,159_102_168,124_245_33,69_198_94,112_181_183,38_226_197,131_124_140,168_161_89,86_235_101,0_178_5,225_241_40,202_95_168,160_71_246,71_68_64,127_171_254,131_127_164,172_137_238,97_41_28,34_222_192,9766
26_142_145,97_237_218,92_211_94,253_239_83,90_31_254,60_1_85,169_195_234,175_83_81,62_232_248,155_233_230,141_89_233,197_42_186,97_90_176,78_48_199,159_218_10,79_217_10,2_98_25,216_222_206,63_41_177,117_227_134,140_164_87,37_140_152,207_183_102,185_74_120,131_159_6,129_131_20,127_154_8,7267
173_114_225,155_132_159,237_98_204,202_7_99,43_90_156,31_6_207,148_100_89,126_61_238,245_241_204,54_55_38,123_165_27,114_98_24,222_19_105,82_174_76,121_171_217,211_143_236,100_146_25,169_68_174,101_109_101,232_152_160,179_2_197,106_94_203,52_125_148,45_146_19,53_153_24,2_149_22,141_215_76,4345
30_227_50,139_164_150,230_87_190,220_241_79,177_176_55,195_157_129,117_18_23,95_200_45,184_33_106,34_194_103,70_227_198,240_110_126,72_221_108,160_206_250,208_45_7,88_136_136,241_57_64,12_125_26,227_170_250,189_113_146,204_185_53,61_62_139,176_144_44,125_30_41,100_181_29,70_68_63,234_252_5,2117
